import time: self [us] | cumulative | imported package
import time:     41378 |      60079 |                           dateutil.parser._parser
import time:     21772 |      21772 |                           dateutil.parser.isoparser
import time:     26957 |     108807 |                         dateutil.parser
import time:     13301 |      13301 |                         pandas._libs.tslibs.strptime
import time:     10127 |     132341 |                       pandas._libs.tslibs.parsing
import time:     11179 |     410229 |                     pandas._libs.tslibs.conversion
import time:     11728 |      11728 |                     pandas._libs.tslibs.period
import time:     10124 |      10124 |                     pandas._libs.tslibs.vectorized
import time:     25012 |     492711 |                   pandas._libs.tslibs
import time:        35 |     492745 |                 pandas._libs.tslibs.nattype
import time:     10540 |      10540 |                 pandas._libs.ops_dispatch
import time:     10884 |     514168 |               pandas._libs.missing
import time:     11873 |     526041 |             pandas._libs.hashtable
import time:     10089 |      10089 |             pandas._libs.algos
